location,loc_lat,loc_lon
Ariyalur,11.141654,79.072189
Coimbatore,11.004556,76.961632
Cuddalore,11.750009,79.749991
Kancheepuram,12.834174,79.703644
Thanjavur,10.79699,79.137825
Tiruvallur,13.144443,79.894005
Trichy,10.830152,78.628419
Villupuram,11.94596,79.497414
Salem,11.664325,78.146011
Namakkal,11.229592,78.171158
Madurai,9.939093,78.121719
 Virudhunagar,9.583629,77.958327
Ponnerikarai to White gate ,,
between 2 k.m,12.873264,79.6995
Trichy Bypass,10.70623197,78.72767597
Mailam x road,12.15443783,79.60646662
Arasur Jn bypass crossing,11.83491728,79.42799485
Omalr to Deevattipatty R.C. ,11.86418666,78.08071316
Senthamangalam,11.28134315,78.23527783
Paranur bus stop,12.73840088,79.98866937
Panapakkam Road ,12.92357941,79.56277934
Siruvachur Cross Road,11.18839108,78.87047649
